houseID,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
V97,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
T58,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
S66,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
G52,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
Q33,3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
P23,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
E95,3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
S38,3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
C96,3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
U62,2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished
M65,2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
U44,2450000,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
T52,2380000,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
A70,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
A56,4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
X77,3430000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
U20,2660000,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
Z23,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
B18,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
K90,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
Q73,3290000,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
H34,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
C80,4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished
S16,3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
J62,3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
G17,3010000,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
B44,2870000,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
U77,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
W95,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
W16,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
I50,4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
K30,3360000,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
W60,3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
G21,2275000,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
Q25,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
M68,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
D83,4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
X99,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
F86,2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
E95,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
